Horario	Sistole(mmHg)	Diastole(mmHg)	Pulsacao(bat/min)	Oxigenacao(%)
00:00:00   24   55   63   93
00:00:01   6   57   88   12
00:00:02   43   50   83   41
00:00:03   17   83   53   50
00:00:04   76   96   38   54
00:00:05   10   64   70   65
00:00:06   4   29   21   95
00:00:07   49   40   87   1
00:00:08   49   31   3   31
00:00:09   35   2   2   16
00:00:10   67   20   85   15
00:00:11   59   35   31   18
00:00:12   100   9   76   39
00:00:13   31   55   40   3
00:00:14   61   20   4   51
00:00:15   29   4   96   17
00:00:16   91   74   38   37
00:00:17   88   84   52   43
00:00:18   30   82   99   0
00:00:19   71   25   69   61
00:00:20   70   91   64   6
00:00:21   26   14   57   85
00:00:22   94   56   14   39
00:00:23   19   43   47   93
00:00:24   2   82   61   33
00:00:25   12   22   19   81
00:00:26   38   25   38   38
00:00:27   58   49   50   72
00:00:28   43   10   48   92
00:00:29   75   73   90   50
00:00:30   50   50   20   34
00:00:31   59   100   32   92
00:00:32   15   23   15   88
00:00:33   65   89   68   62
00:00:34   78   62   32   42
00:00:35   7   2   10   60
00:00:36   64   73   2   86
00:00:37   8   42   74   45
00:00:38   20   98   12   15
00:00:39   94   74   31   5
00:00:40   29   27   64   14
00:00:41   73   71   81   40
00:00:42   7   41   6   22
00:00:43   1   78   21   83
00:00:44   92   61   21   35
00:00:45   21   38   80   15
00:00:46   50   12   4   62
00:00:47   11   66   57   32
00:00:48   14   24   21   70
00:00:49   90   1   41   24
00:00:50   40   0   37   40
00:00:51   81   69   89   12
00:00:52   24   23   98   56
00:00:53   82   48   85   54
00:00:54   40   18   18   7
00:00:55   15   3   8   58
00:00:56   10   37   51   55
00:00:57   91   43   64   19
00:00:58   96   3   100   97
00:00:59   13   23   54   15
00:01:00   93   37   2   81
00:01:01   50   77   38   87
00:01:02   36   20   59   69
00:01:03   23   30   88   26
00:01:04   12   5   72   83
00:01:05   69   38   2   86
00:01:06   47   55   15   12
00:01:07   27   41   74   100
00:01:08   50   2   99   3
00:01:09   15   12   93   0
00:01:10   85   19   50   47
00:01:11   97   94   16   29
00:01:12   2   79   44   27
00:01:13   61   95   52   79
00:01:14   97   80   53   93
00:01:15   87   98   12   70
00:01:16   94   23   50   47
00:01:17   96   44   69   4
00:01:18   94   33   17   95
00:01:19   32   44   85   36
00:01:20   1   33   4   70
00:01:21   55   19   60   34
00:01:22   34   22   83   29
00:01:23   30   63   89   27
00:01:24   61   65   88   31
00:01:25   8   36   84   58
00:01:26   47   8   19   13
00:01:27   21   44   78   41
00:01:28   50   57   76   87
00:01:29   28   10   6   89
00:01:30   32   24   79   66
00:01:31   69   33   95   66
00:01:32   82   5   49   60
00:01:33   94   30   19   37
00:01:34   94   79   93   0
00:01:35   93   44   3   100
00:01:36   91   55   2   94
00:01:37   13   47   97   23
00:01:38   13   96   58   80
00:01:39   49   67   71   40
00:01:40   50   11   2   65
00:01:41   90   64   9   17
00:01:42   4   77   86   94
00:01:43   36   30   59   16
00:01:44   62   0   99   12
00:01:45   94   16   94   73
00:01:46   51   97   23   85
00:01:47   31   62   82   72
00:01:48   35   85   78   49
00:01:49   42   4   38   74
00:01:50   58   53   17   44
00:01:51   29   81   38   69
00:01:52   0   56   52   6
00:01:53   40   32   39   46
00:01:54   67   47   7   80
00:01:55   36   94   61   50
00:01:56   57   17   49   17
00:01:57   47   98   6   88
00:01:58   77   90   24   8
00:01:59   38   88   6   61
00:02:00   27   62   70   20
00:02:01   56   80   48   60
00:02:02   37   10   33   74
00:02:03   84   22   74   23
00:02:04   25   26   18   21
00:02:05   73   17   67   5
00:02:06   41   18   20   48
00:02:07   82   26   92   58
00:02:08   16   87   85   11
00:02:09   7   57   97   94
00:02:10   13   31   35   46
00:02:11   51   28   88   98
00:02:12   81   22   3   79
00:02:13   1   13   87   77
00:02:14   85   83   16   87
00:02:15   85   64   18   7
00:02:16   3   3   35   89
00:02:17   49   67   90   62
00:02:18   50   80   63   37
00:02:19   35   82   95   4
00:02:20   93   72   56   39
00:02:21   39   46   51   3
