Horario	Sistole(mmHg)	Diastole(mmHg)	Pulsacao(bat/min)	Oxigenacao(%)
00:00:00   24   20   53   26
00:00:01   41   2   39   93
00:00:02   9   18   70   52
00:00:03   46   24   23   23
00:00:04   30   43   80   72
00:00:05   57   25   11   71
00:00:06   8   45   14   89
00:00:07   47   28   23   65
00:00:08   39   54   90   11
00:00:09   20   82   16   25
00:00:10   69   40   95   79
00:00:11   49   99   4   40
00:00:12   29   98   63   60
00:00:13   6   44   22   51
00:00:14   90   59   89   43
00:00:15   73   20   89   76
00:00:16   67   95   31   41
00:00:17   44   15   96   10
00:00:18   86   83   40   13
00:00:19   65   2   96   51
00:00:20   17   77   72   80
00:00:21   85   14   83   23
00:00:22   45   75   55   31
00:00:23   5   37   97   25
00:00:24   67   96   42   47
00:00:25   45   76   31   71
00:00:26   56   8   23   94
00:00:27   29   98   73   39
00:00:28   6   82   73   10
00:00:29   93   37   37   45
00:00:30   61   57   24   98
00:00:31   46   76   65   34
00:00:32   91   68   16   43
00:00:33   89   89   88   57
00:00:34   59   81   41   13
00:00:35   82   51   17   37
00:00:36   13   53   20   47
00:00:37   31   94   57   85
00:00:38   59   13   62   74
00:00:39   92   88   3   36
00:00:40   87   22   12   68
00:00:41   41   90   35   27
00:00:42   38   68   97   56
00:00:43   10   93   97   90
00:00:44   44   24   90   22
00:00:45   85   48   8   82
00:00:46   46   37   90   19
00:00:47   40   61   67   0
00:00:48   80   55   82   40
00:00:49   53   33   24   69
00:00:50   81   27   50   8
00:00:51   78   74   88   83
00:00:52   32   67   13   92
00:00:53   73   97   63   45
00:00:54   68   84   51   33
00:00:55   2   0   56   49
00:00:56   50   66   21   34
00:00:57   32   67   91   42
00:00:58   46   100   18   93
00:00:59   16   77   54   84
00:01:00   61   94   45   58
00:01:01   39   36   98   0
00:01:02   52   69   10   46
00:01:03   81   15   57   78
00:01:04   48   10   91   22
00:01:05   75   80   90   31
00:01:06   12   91   40   21
00:01:07   89   22   82   63
00:01:08   85   13   54   15
00:01:09   29   13   18   58
00:01:10   18   69   92   48
00:01:11   83   82   89   61
00:01:12   50   59   43   54
